Player,Price,Apps,Mins,S,OT,IN,BC,XG,G,KP,BCC,XA,A,XPTS,BPS,B,DC,PTS
DEFR.GomesWOL,£4.4m,13,539,14,5,13,4,1.69,3,3,0,0.32,0,60.11,87,0,0,37
MIDP.M.SarrTOT,£4.5m,14,806,10,3,3,1,0.62,0,8,2,0.81,3,41.58,166,2,6,37
MIDBalebaBHA,£4.5m,17,988,11,1,1,1,0.45,0,6,1,0.62,0,49.5,147,0,6,37
MIDLermaCRY,£4.9m,15,962,14,3,8,2,1.21,0,8,2,0.95,4,44.07,160,1,2,37
MIDChukwuezeFUL,£5.3m,11,537,16,7,11,3,1.58,3,12,3,1.43,1,37.41,148,1,0,37
DEFRobertsonLIV,£5.7m,11,664,6,2,5,1,0.94,1,9,1,0.7,0,46.73,143,2,0,37
GKVicarioTOT,£4.7m,16,1440,0,0,0,0,0,0,0,0,0.02,0,51.38,168,2,0,37
MIDLongstaffLEE,£4.8m,11,553,8,1,4,0,0.41,1,19,5,1.38,2,35.49,170,4,4,36
DEFMurilloNFO,£5.2m,14,1194,6,0,3,0,0.4,0,5,0,0.2,0,47.64,171,0,6,36
DEFTchatchouaWOL,£4.4m,14,864,0,0,0,0,0,0,7,1,0.68,1,52.6,119,0,2,36
MIDIroegbunamEVE,£4.8m,13,771,7,1,4,0,0.4,0,5,2,0.15,3,32.94,125,1,6,36
MIDHee ChanWOL,£5.6m,13,638,7,4,4,3,1.66,2,11,2,1.05,2,39.14,123,0,0,36
DEFKrejčíWOL,£4.5m,12,1021,7,3,7,2,1.48,1,3,1,0.89,1,50.47,119,0,6,36
MIDCullenBUR,£4.9m,9,725,4,1,2,0,0.26,1,4,3,0.56,2,27.1,156,3,4,36
MIDLaurentBUR,£4.8m,15,861,5,1,2,0,0.3,1,8,0,0.2,0,36.02,140,1,6,36
MIDGarnachoCHE,£6.4m,13,732,20,4,13,7,2.35,1,14,2,1.69,3,44.6,124,2,0,36
MIDMerinoARS,£5.3m,10,557,13,4,10,4,1.67,2,9,2,0.79,2,37.29,140,3,0,36
DEFFofanaCHE,£4.4m,12,850,5,1,5,0,0.42,0,2,1,0.55,1,53.17,167,2,10,36
FWDWilsonWHU,£5.8m,16,563,21,7,17,6,4.14,3,6,1,0.26,1,42.23,132,1,0,35
DEFKerkezLIV,£5.6m,16,1051,3,0,2,0,0.23,0,17,2,0.44,1,60.68,185,1,2,35
MIDØdegaardARS,£7.8m,11,700,15,4,8,0,0.93,1,19,1,1.39,2,36.66,145,3,0,35
DEFFrimpongLIV,£5.7m,11,608,7,1,5,0,0.35,0,13,5,1.35,2,47.38,159,0,0,35
DEFEkdalBUR,£3.8m,9,810,5,1,5,1,0.23,0,2,0,0.11,0,32.31,124,2,12,35
MIDTelTOT,£6.2m,16,678,23,5,15,2,1.57,2,18,1,1.05,0,46.48,120,2,0,35
DEFVan de VenTOT,£4.4m,18,1522,9,1,8,0,1.15,0,5,1,0.23,1,67.94,154,2,2,35
DEFCastagneFUL,£4.3m,14,999,6,2,6,0,0.64,0,10,3,1.05,1,50.43,181,2,2,35
DEFAinaNFO,£4.7m,9,808,7,0,3,0,0.26,0,6,0,0.68,0,30.46,147,3,4,34
FWDNmechaLEE,£5.0m,15,433,12,7,11,5,2.82,3,7,0,0.45,0,37.25,136,4,0,34
DEFMosqueraWOL,£4.3m,13,993,16,4,15,1,0.98,0,5,0,0.32,0,47.67,127,3,6,34
MIDRodrigoMCI,£6.3m,10,634,6,2,4,1,0.49,1,10,0,0.73,0,35.52,155,5,4,34
DEFKhusanovMCI,£5.4m,10,600,2,1,1,1,0.14,0,3,0,0.23,0,37.42,146,1,4,34
MIDDiarraSUN,£5.3m,9,688,13,2,8,2,1.2,1,4,0,0.5,3,26.84,91,3,0,34
MIDMarmoushMCI,£8.3m,10,382,17,8,12,4,1.9,3,6,1,0.27,1,30.47,117,3,0,34
MIDGruevLEE,£4.7m,13,651,3,1,2,1,0.32,0,6,2,0.54,3,32.31,138,3,0,34
DEFHincapieARS,£5.1m,13,805,0,0,0,0,0,0,4,1,0.51,1,60.96,137,1,6,34
GKHermansenWHU,£4.2m,9,810,0,0,0,0,0,0,0,0,0.01,0,28.82,125,3,0,34
FWDTatyWHU,£5.5m,9,708,21,10,19,8,2.89,3,6,1,0.37,1,31.62,127,4,0,33
FWDToluWOL,£5.1m,17,766,24,10,20,6,2.38,1,4,1,0.14,1,40.49,121,2,0,33
MIDGrayTOT,£4.8m,13,889,7,2,4,1,0.85,1,5,2,0.99,1,37.04,143,3,0,33
MIDTielemansAVL,£5.9m,12,925,13,5,5,1,0.65,0,15,1,1.56,2,42.7,200,2,0,32
MIDTchaounaBUR,£4.8m,13,667,15,4,3,1,0.64,1,9,1,0.59,1,33.79,106,0,2,32
MIDEstêvãoCHE,£6.4m,13,545,18,5,15,1,1.85,1,13,2,1.51,2,41.06,101,2,0,32
MIDJaneltBRE,£4.9m,12,728,6,2,2,1,0.53,0,8,1,1.11,1,38.03,135,0,8,32
MIDKamadaCRY,£5.0m,14,885,12,3,7,1,1.01,0,11,3,2.15,1,49.22,143,0,4,31
DEFTrippierNEW,£4.9m,12,901,1,0,0,0,0.03,0,19,1,1.21,1,43.93,126,2,2,31
DEFSpenceTOT,£4.1m,16,1094,7,5,4,2,0.67,0,5,2,1.02,0,57.7,97,0,0,31
DEFDiakitéBOU,£4.1m,8,588,0,0,0,0,0,0,1,0,0.11,0,35.19,124,2,4,30
MIDKudusTOT,£6.4m,9,688,10,5,6,1,0.64,1,13,1,1.25,2,30.23,118,2,0,30
DEFHumphreysBUR,£3.9m,10,867,7,1,4,1,0.33,0,9,1,0.64,1,26.76,148,0,6,30
MIDL.MileyNEW,£4.4m,11,742,8,3,5,2,0.93,0,7,1,1.15,1,39.6,134,1,6,30
DEFMartinezMUN,£4.8m,9,615,1,0,1,0,0.09,0,3,1,0.42,0,34.81,134,3,6,30
DEFWhiteARS,£5.1m,7,406,2,0,1,0,0.06,0,5,2,0.36,1,29.08,113,3,2,30
MIDHannibalBUR,£4.7m,14,646,8,1,2,0,0.33,0,18,4,1.62,3,33.13,144,2,2,30
DEFMaatsenAVL,£4.2m,14,916,9,1,6,0,0.51,0,16,2,1.39,1,58.51,129,0,2,30
DEFWalker-PetersWHU,£4.2m,13,796,5,3,5,1,1.13,1,4,1,0.28,0,44.09,136,0,0,30
MIDAdamsBOU,£4.9m,12,929,3,3,1,0,0.06,0,6,1,0.37,1,34.68,156,0,4,30
DEFYoroMUN,£4.1m,16,904,4,1,4,0,0.3,0,3,0,0.35,0,66.55,106,0,6,30
MIDRayanBOU,£5.4m,7,526,17,5,11,2,2.1,3,5,1,0.62,0,31.57,101,2,0,29
DEFRomeroTOT,£5.0m,11,872,8,2,7,2,0.56,1,4,1,0.57,0,40.61,106,1,4,29
FWDKolo MuaniTOT,£6.9m,16,913,15,3,14,6,1.81,1,9,1,0.86,0,37.48,65,1,0,29
DEFHenryBRE,£4.3m,13,607,2,0,1,0,0.12,0,0,0,0.24,1,43.6,84,0,0,29
MIDBrooksBOU,£5.0m,16,698,25,1,16,5,2.61,0,10,2,1.4,2,50.37,69,0,0,29
