Player,Price,Apps,Mins,S,OT,IN,BC,XG,G,KP,BCC,XA,A,XPTS,BPS,B,DC,PTS
MIDArmstrongEVE,£4.5m,7,246,3,2,3,0,0.42,0,2,0,0.14,0,17.78,47,0,2,11
MIDO'RileyBHA,£5.5m,3,96,1,1,1,1,0.79,1,3,0,0.15,0,11.24,28,2,0,11
MIDBaileyAVL,£5.5m,6,225,3,1,1,0,0.18,0,10,1,1.11,1,17.47,40,0,0,11
MIDMcAteeNFO,£5.0m,7,118,2,0,1,0,0.06,0,2,1,0.16,1,13.21,39,0,0,10
MIDGeorgeEVE,£4.8m,7,179,3,2,2,1,0.32,0,1,1,0.49,0,17.99,31,0,0,10
MIDAlcarazEVE,£5.2m,7,267,7,2,5,1,0.47,0,2,0,0.09,0,16.02,30,0,0,10
GKRamsdaleNEW,£4.8m,6,540,0,0,0,0,0,0,1,0,0.01,0,14.68,49,0,0,10
DEFLindelöfAVL,£4.5m,8,339,0,0,0,0,0,0,0,0,0.04,0,34.51,47,0,0,10
MIDAdamaWHU,£5.1m,10,80,5,0,5,1,0.6,0,0,0,0.04,0,21.89,21,0,0,10
DEFClyneCRY,£3.8m,4,313,2,0,2,0,0.23,0,2,2,0.61,1,15.24,35,2,0,10
GKOrtega MorenoNFO,£4.7m,2,180,0,0,0,0,0,0,0,0,0,0,8.67,37,0,0,10
MIDGittensCHE,£6.0m,9,183,6,1,2,0,0.23,0,5,0,0.16,0,17.93,39,0,0,9
MIDBakwaNFO,£5.9m,6,219,4,1,3,0,0.2,0,5,0,0.36,0,14.3,38,0,0,9
GKJohnstoneWOL,£4.4m,5,450,0,0,0,0,0,0,0,0,0.02,0,15.18,53,0,0,9
GKKinskyTOT,£3.9m,3,270,0,0,0,0,0,0,0,0,0.01,0,10.67,37,0,0,9
GKJohnNFO,£4.0m,3,270,0,0,0,0,0,0,0,0,0,0,10.86,35,0,0,9
MIDCarvalhoBRE,£4.6m,2,2,1,1,1,1,0.67,1,0,0,0,0,7.64,26,1,0,8
FWDAwoniyiNFO,£5.2m,8,246,7,2,6,2,1.21,0,4,1,0.4,0,16.13,22,0,0,8
MIDDiblingEVE,£5.3m,8,148,1,0,1,0,0.08,0,2,0,0.08,0,15.01,21,0,0,8
MIDMundleSUN,£4.9m,8,215,2,0,2,1,0.42,0,0,0,0.45,0,18.2,19,0,0,8
DEFHatoCHE,£4.6m,10,483,1,0,0,0,0.04,0,3,1,0.29,0,31.67,45,0,0,8
MIDEdozieWOL,£4.3m,2,7,1,1,1,1,0.16,1,0,0,0,0,4.86,25,0,0,7
GKM.BizotAVL,£4.2m,2,180,0,0,0,0,0,0,0,0,0,0,3.19,22,0,0,7
FWDUcheCRY,£5.5m,7,64,2,1,2,0,0.03,0,0,0,0.01,0,7.74,15,0,0,7
MIDNelsonBRE,£4.8m,7,85,4,0,2,2,0.65,0,1,0,0.07,0,16.53,16,0,0,7
DEFDragusinTOT,£4.5m,4,271,1,0,1,0,0.12,0,0,0,0.01,0,12.7,17,0,4,7
FWDNketiahCRY,£5.4m,5,152,8,2,7,2,0.84,1,3,1,0.36,0,8.87,38,0,0,7
GKBenitezCRY,£3.9m,1,90,0,0,0,0,0,0,0,0,0,0,4,29,0,0,7
DEFPedro LimaWOL,£4.0m,5,137,2,0,1,0,0.16,0,3,0,0.37,0,21.91,15,0,0,6
MIDAnguloSUN,£5.0m,4,219,7,3,5,2,0.78,0,2,0,0.06,0,12.75,17,0,0,6
MIDBissoumaTOT,£5.2m,6,350,3,2,1,0,0.25,0,0,0,0.03,0,10.4,47,0,2,6
MIDGannon-DoakBOU,£4.8m,3,19,0,0,0,0,0,0,1,1,0.07,1,5.67,18,0,0,6
DEFStonesMCI,£5.4m,4,176,0,0,0,0,0,0,0,0,0.04,0,16.25,22,0,2,6
MIDAngelWOL,£4.6m,5,171,0,0,0,0,0,0,2,0,0.09,0,9.79,37,0,0,6
MIDEndoLIV,£4.9m,3,34,0,0,0,0,0,0,1,0,0.01,1,4.45,16,0,0,5
GKBayindirMUN,£4.7m,3,270,0,0,0,0,0,0,0,0,0.01,0,9.68,20,0,0,5
GKWeissBUR,£4.2m,2,180,0,0,0,0,0,0,1,0,0.01,0,6.12,30,0,0,5
MIDTrésorBUR,£4.3m,5,29,0,0,0,0,0,0,1,0,0,0,9.41,15,0,0,5
FWDMarc GuiuCHE,£4.0m,4,107,5,1,5,2,0.83,0,0,0,0,0,9.2,3,0,0,5
DEFJair CunhaNFO,£4.2m,3,200,1,1,1,1,0.13,0,0,0,0.01,0,11.49,15,0,0,5
MIDLaviaCHE,£4.9m,6,156,1,0,0,0,0.02,0,1,1,0.47,0,11.4,39,0,0,5
DEFWorrallBUR,£3.8m,4,117,1,0,1,0,0.08,0,0,0,0,0,12.5,5,0,2,5
MIDMohamadou KantéWHU,£4.5m,5,18,0,0,0,0,0,0,1,0,0.04,0,10.18,21,0,0,5
MIDNyoniLIV,£4.3m,5,20,1,0,1,1,0.37,0,1,0,0.02,0,11.49,9,0,0,5
FWDKusi-AsareFUL,£4.5m,4,34,0,0,0,0,0,0,1,0,0.01,0,4.65,16,0,0,4
DEFAlleyneMCI,£3.9m,1,90,1,0,1,1,0.16,0,1,0,0.05,0,5.05,17,0,2,4
DEFSosaCRY,£4.8m,4,28,0,0,0,0,0,0,0,0,0,0,19.49,12,0,0,4
GKTraffordMCI,£4.5m,2,180,0,0,0,0,0,0,0,0,0,0,6.78,18,0,0,4
FWDLuccaNFO,£5.3m,3,90,3,0,3,1,0.63,0,1,0,0.01,0,7.38,6,0,0,4
DEFPattersonEVE,£4.4m,3,74,0,0,0,0,0,0,0,0,0.04,0,12.34,11,0,0,4
FWDBarnesBUR,£4.2m,4,15,2,1,2,1,0.25,0,0,0,0.04,0,4.71,9,0,0,3
GKEllborgSUN,£4.0m,1,90,0,0,0,0,0,0,0,0,0.02,0,3.18,17,0,0,3
DEFDohertyWOL,£4.4m,5,366,2,0,0,0,0.02,0,1,0,0.06,0,7.63,13,0,0,3
GKWoodmanLIV,£3.9m,1,90,0,0,0,0,0,0,0,0,0,0,2.55,20,0,0,3
MIDKovačićMCI,£5.8m,3,46,1,0,0,0,0.07,0,1,0,0.06,0,5.83,13,0,0,3
MIDMarchBHA,£5.8m,3,37,1,1,1,0,0.04,0,0,0,0.02,0,6.11,16,0,0,3
MIDHowellBHA,£4.5m,2,83,0,0,0,0,0,0,0,0,0.02,0,4.59,8,0,0,3
DEFNetzNFO,£4.5m,2,109,0,0,0,0,0,0,2,0,0.03,0,7.3,14,0,0,3
MIDNørgaardARS,£5.1m,3,32,0,0,0,0,0,0,0,0,0,0,5.2,9,0,0,3
FWDTzimasBHA,£5.2m,3,51,0,0,0,0,0,0,1,0,0.06,0,3.44,6,0,0,3
MIDDasilvaBRE,£4.9m,2,2,1,0,1,0,0.08,0,0,0,0,0,4.45,5,0,0,2
GKBentleyWOL,£3.9m,1,90,0,0,0,0,0,0,0,0,0,0,3.96,10,0,0,2
MIDCardinesCRY,£4.4m,1,90,1,0,1,0,0.02,0,2,1,0.16,0,3.12,21,0,0,2
DEFA.GarcíaAVL,£3.9m,2,4,0,0,0,0,0,0,0,0,0,0,10.02,6,0,0,2
MIDAlyssonAVL,£5.0m,2,43,1,0,1,0,0.05,0,0,0,0.02,0,3.55,6,0,0,2
DEFColemanEVE,£4.2m,2,3,0,0,0,0,0,0,0,0,0.01,0,8.53,1,0,0,2
DEFIgorBHA,£4.5m,2,12,0,0,0,0,0,0,1,0,0,0,8.02,2,0,0,2
MIDJ.FletcherMUN,£4.3m,2,90,1,0,0,0,0.03,0,2,0,0.03,0,3.29,10,0,0,2
DEFM.SarrCHE,£4.5m,2,11,0,0,0,0,0,0,0,0,0,0,8.27,2,0,0,2
MIDTóth.ABOU,£4.9m,3,11,0,0,0,0,0,0,1,0,0.17,0,5.28,6,0,0,2
FWDAmdouniBUR,£4.8m,2,35,2,1,1,0,0.17,0,0,0,0.01,0,2.94,2,0,0,2
MIDElliottAVL,£5.1m,2,58,3,0,2,0,0.12,0,1,0,0.03,0,4.47,8,0,0,2
MIDMaddisonTOT,£6.8m,2,13,0,0,0,0,0,0,0,0,0.04,0,3.78,6,0,0,2
DEFSolerBOU,£3.9m,2,21,0,0,0,0,0,0,0,0,0,0,9.65,2,0,0,2
DEFMayersWHU,£4.0m,2,34,1,0,1,0,0.12,0,1,0,0.01,0,7.85,3,0,0,2
DEFMalaciaMUN,£3.7m,1,2,0,0,0,0,0,0,0,0,0,0,3.98,3,0,0,1
DEFFredricsonMUN,£3.7m,1,2,0,0,0,0,0,0,0,0,0,0,4,4,0,0,1
DEFColwillCHE,£4.7m,1,45,0,0,0,0,0,0,0,0,0.01,0,2.07,4,0,0,1
MIDDonovanBRE,£4.4m,1,9,0,0,0,0,0,0,0,0,0,0,2.06,3,0,0,1
DEFB.BadiashileCHE,£4.4m,4,200,0,0,0,0,0,0,0,0,0.05,0,9.52,14,0,0,1
MIDBendito MantatoMUN,£4.5m,1,15,0,0,0,0,0,0,1,0,0.01,0,2.03,3,0,0,1
DEFByfieldTOT,£4.0m,1,1,0,0,0,0,0,0,0,0,0,0,5.22,3,0,0,1
MIDBurrowesAVL,£4.3m,1,16,0,0,0,0,0,0,0,0,0,0,1.43,3,0,0,1
DEFPinnockBRE,£4.2m,1,82,0,0,0,0,0,0,0,0,0.04,0,2.55,5,0,0,1
MIDDerryCHE,£4.5m,1,45,2,1,2,0,0.1,0,0,0,0.02,0,1.98,5,0,0,1
FWDFuroBRE,£4.5m,1,1,0,0,0,0,0,0,0,0,0,0,1.08,2,0,0,1
GKJörgensenCHE,£4.3m,1,24,0,0,0,0,0,0,0,0,0,0,5.26,4,0,0,1
MIDJocelin.TSUN,£4.9m,1,38,0,0,0,0,0,0,0,0,0.04,0,1.99,4,0,0,1
MIDFletcherMUN,£4.4m,1,1,0,0,0,0,0,0,0,0,0.01,0,2.05,3,0,0,1
DEFByramLEE,£3.7m,1,1,0,0,0,0,0,0,0,0,0,0,4.26,3,0,0,1
GKGunnNFO,£4.0m,1,45,0,0,0,0,0,0,0,0,0,0,4.37,4,0,0,1
MIDGeorge HemmingsAVL,£4.5m,1,17,1,0,0,0,0.04,0,0,0,0,0,2.25,2,0,0,1
MIDBuonanotteLEE,£4.6m,1,19,0,0,0,0,0,0,0,0,0,0,1.28,1,0,0,1
MIDOriolaBHA,£4.5m,1,1,0,0,0,0,0,0,0,0,0,0,2.05,3,0,0,1
