Player,Price,Apps,Mins,S,OT,IN,BC,XG,G,KP,BCC,XA,A,XPTS,BPS,B,DC,PTS
DEFCollinsBRE,£4.9m,17,1396,6,3,6,1,0.55,1,3,2,0.69,1,55.15,200,1,14,55
MIDMintehBHA,£5.5m,17,1257,22,5,17,3,1.54,1,24,7,3.58,4,58.78,228,3,0,55
MIDAnthonyBUR,£5.0m,19,1434,24,7,15,1,1.75,3,22,3,2.07,2,59.55,249,1,2,55
GKLammensMUN,£5.1m,16,1440,0,0,0,0,0,0,0,0,0.02,0,50.37,211,7,0,55
MIDGravenberchLIV,£5.4m,18,1550,15,5,1,0,0.45,1,12,1,0.9,2,53.8,286,5,2,55
MIDBernardoMCI,£6.2m,19,1461,13,3,10,1,1.35,2,28,6,2.45,1,62.95,304,4,2,55
DEFHumeSUN,£4.5m,19,1549,12,3,5,2,0.66,1,9,0,0.93,0,51.55,182,4,2,54
MIDAyariBHA,£4.8m,16,1132,22,3,7,0,1.26,1,5,0,0.42,3,54.71,232,2,6,54
DEFLewis-PotterBRE,£4.8m,19,880,15,5,10,2,1.08,2,7,1,0.81,2,70.65,150,3,0,54
MIDNdiayeEVE,£6.3m,16,1391,18,7,14,3,2.33,2,14,2,1.15,1,62.31,228,2,6,54
GKDonnarummaMCI,£5.6m,17,1530,0,0,0,0,0,0,1,0,0.14,0,49.6,238,0,0,53
DEFAndersenFUL,£4.4m,17,1530,10,4,7,2,1,0,1,1,0.57,0,57.5,183,0,22,53
FWDŠeškoMUN,£7.2m,15,859,29,16,24,9,4.23,5,2,0,0.13,0,45.69,182,11,0,53
MIDO.DangoBRE,£5.6m,16,1039,23,5,20,4,2.16,2,9,6,1.04,3,51.09,177,4,2,53
DEFHincapieARS,£5.1m,12,982,3,2,1,1,0.36,1,9,1,1.13,1,55.21,198,6,8,53
GKVicarioTOT,£4.7m,15,1350,0,0,0,0,0,0,1,0,0.04,0,41.1,244,4,0,53
DEFShawMUN,£4.5m,19,1642,3,1,1,0,0.24,0,6,0,0.7,0,56.83,216,3,6,53
MIDOkaforLEE,£5.5m,14,703,15,5,12,4,2.07,4,8,1,0.42,1,41.73,168,6,0,52
MIDDokuMCI,£6.5m,14,828,16,4,9,3,1.26,3,21,2,2.34,2,48.53,219,3,0,52
DEFHallNEW,£5.3m,15,1120,13,2,3,0,0.43,1,11,3,1.32,1,55.45,217,4,6,52
DEFMykolenkoEVE,£4.9m,17,1519,2,2,0,0,0.05,0,11,0,0.95,1,44.04,172,1,8,52
MIDGomezBHA,£4.9m,17,1155,20,8,18,7,3.59,2,10,2,1.11,0,65.77,160,4,4,52
MIDWirtzLIV,£8.3m,17,1310,25,8,17,4,2.41,1,27,2,2.24,1,62.76,221,6,0,51
FWDGyökeresARS,£9.1m,18,1102,24,8,21,6,3.74,5,16,4,1.69,0,51.65,211,6,0,50
DEFDorguMUN,£4.1m,14,839,14,6,12,3,1.31,2,18,5,0.89,3,55.51,186,5,0,50
MIDAmadMUN,£6.2m,15,1071,18,8,12,0,1.26,1,17,4,2.39,4,49.95,235,7,0,50
DEFKerkezLIV,£5.6m,18,1200,6,2,4,2,1.35,2,9,1,0.25,0,68.44,172,3,0,50
FWDBrobbeySUN,£5.3m,16,938,16,8,16,5,2.76,4,6,0,0.27,1,40.36,178,8,0,50
DEFBotmanNEW,£4.9m,12,1031,6,0,5,1,0.94,0,1,0,0.1,0,52.28,181,6,10,50
MIDWiefferBHA,£4.8m,13,940,9,2,7,0,0.92,2,14,2,1.21,1,45.69,217,3,10,49
DEFMaguireMUN,£4.4m,12,851,5,1,5,1,0.24,1,1,0,0.19,0,41.94,147,3,10,49
DEFStruijkLEE,£4.2m,17,1413,11,2,11,1,1.05,0,4,0,0.3,0,61.47,182,1,16,49
GKMartinezAVL,£5.0m,15,1305,0,0,0,0,0,0,1,1,0.04,1,44.99,230,6,0,49
DEFMavropanosWHU,£4.5m,16,1272,15,4,14,2,1.34,0,1,0,0.53,0,63.16,165,0,18,49
GKSánchezCHE,£4.8m,16,1354,0,0,0,0,0,0,1,1,0.03,1,51.38,230,3,0,49
MIDMaduekeARS,£6.8m,13,616,17,6,16,0,0.82,3,9,3,0.98,1,36.52,168,9,0,49
DEFBasseyFUL,£4.4m,16,1354,8,2,7,1,1.25,1,4,0,0.14,1,50.23,181,3,10,49
MIDReijndersMCI,£5.0m,14,741,17,8,11,4,1.81,3,11,2,1.42,2,44.81,171,3,0,49
MIDBruno G.NEW,£6.9m,14,1213,20,11,10,2,1.7,1,22,3,2.46,1,58.73,268,5,8,48
MIDFodenMCI,£8.0m,14,820,24,6,11,2,2.76,3,18,3,1.73,0,52.88,213,4,4,48
GKPopeNEW,£5.0m,14,1246,1,1,1,0,0.16,0,0,0,0.01,0,53.82,219,2,0,48
FWDEvanilsonBOU,£6.6m,18,1337,37,12,32,6,5.05,2,8,2,0.49,3,60.51,173,2,0,48
DEFMurilloNFO,£5.2m,11,936,5,4,2,0,0.34,1,3,1,0.28,0,37.83,162,3,14,47
DEFKeaneEVE,£4.5m,15,1261,10,2,10,0,0.64,0,0,0,0.31,0,52.72,167,3,14,47
DEFDunkBHA,£4.5m,17,1442,10,2,8,0,0.9,0,4,1,0.36,0,52.83,213,3,10,47
MIDAdamsBOU,£4.9m,13,840,7,3,3,1,0.54,2,1,1,0.24,1,39.27,190,3,10,47
DEFSpenceTOT,£4.1m,14,955,6,3,3,0,0.23,0,5,2,0.76,0,45.68,174,3,2,47
MIDBuendíaAVL,£5.3m,18,905,22,7,7,0,1.27,2,12,2,0.84,0,47.19,164,4,8,46
MIDTalbiSUN,£4.9m,15,856,16,8,10,3,1.58,3,7,0,0.55,0,40.97,136,6,0,46
GKA.BeckerLIV,£5.4m,12,1080,0,0,0,0,0,0,0,0,0.01,0,42.47,189,5,0,46
FWDEkitikéLIV,£9.0m,13,811,22,6,17,7,3.28,4,11,1,0.91,0,42.41,151,9,0,46
MIDSchadeBRE,£6.8m,18,1407,28,12,28,13,5.39,2,7,3,0.7,2,69.59,128,0,0,46
MIDKudusTOT,£6.4m,10,847,16,4,10,2,1.29,1,10,2,1.15,4,34.86,139,5,0,45
DEFDigneAVL,£4.5m,18,1047,6,2,2,0,0.26,0,11,2,1.51,3,62.07,166,3,2,45
MIDGordonNEW,£7.2m,13,912,26,10,15,4,3.06,2,10,0,0.82,2,48.66,154,3,0,45
FWDWilsonWHU,£5.8m,16,671,17,9,15,5,3.52,4,2,0,0.29,1,40.55,164,6,0,45
MIDUgochukwuBUR,£5.0m,18,1164,9,2,7,1,0.58,1,3,0,0.15,2,43.97,166,1,4,45
DEFCashAVL,£4.6m,17,1474,12,4,3,0,0.4,1,19,3,1.54,1,44.74,193,2,0,45
DEFCucurellaCHE,£6.1m,17,1288,10,3,10,0,0.65,0,11,3,1.51,2,57.88,188,1,4,45
MIDEzeARS,£7.3m,17,938,27,8,14,4,2.46,2,7,1,0.88,0,55.68,174,2,0,44
DEFBurnNEW,£5.0m,15,1199,5,1,4,0,0.25,0,4,0,0.21,1,56.95,130,2,14,44
MIDMac AllisterLIV,£6.1m,18,1281,19,3,12,2,1.41,1,14,1,0.67,0,52.19,220,3,4,43
MIDFlorentinoBUR,£5.0m,14,982,6,1,1,1,0.18,0,3,0,0.18,1,44.48,181,0,16,43
DEFJustinLEE,£4.0m,14,989,11,1,6,2,0.6,1,3,2,0.2,0,43.52,151,3,6,43
MIDTelTOT,£6.2m,15,656,12,3,9,2,0.87,2,12,4,1.38,2,40.25,146,5,0,43
MIDSessegnonFUL,£5.4m,13,870,6,1,6,1,0.74,1,6,0,0.47,1,43.39,134,2,8,43
MIDAndréWOL,£5.2m,17,1339,6,0,1,0,0.21,0,8,1,0.57,0,50.86,224,1,18,43
MIDL.MileyNEW,£4.4m,12,751,4,1,3,0,0.4,1,8,2,0.96,3,37.39,200,4,4,42
DEFBijolLEE,£3.9m,14,1096,8,3,8,0,0.46,0,1,1,0.27,1,44.54,130,1,12,42
MIDJaneltBRE,£4.9m,13,706,6,1,4,1,0.38,1,13,5,1.17,3,34.78,199,6,6,42
DEFCalafioriARS,£5.6m,15,842,14,4,11,3,1.93,1,1,0,0.32,0,74.34,140,2,0,42
DEFS.BuenoWOL,£4.4m,15,1294,5,5,5,2,1.87,2,5,0,0.58,0,52.63,125,2,6,42
DEFKayodeBRE,£4.6m,19,1671,3,2,3,1,0.54,0,19,1,1.61,0,51.24,197,3,0,42
MIDBarnesNEW,£6.1m,19,943,21,8,16,4,1.94,2,13,1,1.05,0,51.26,142,3,0,42
DEFTeteFUL,£4.5m,11,938,8,1,4,0,0.55,1,2,0,0.25,0,35.87,152,2,12,42
GKHermansenWHU,£4.2m,9,810,0,0,0,0,0,0,2,0,0.03,1,29.84,157,5,0,42
FWDBarryEVE,£5.7m,19,949,18,7,17,8,4.16,3,9,2,0.32,0,49.48,122,4,0,42
MIDBentancurTOT,£5.2m,13,1054,5,2,3,1,0.26,0,5,1,0.53,1,42.57,186,0,12,42
DEFDansoTOT,£4.2m,14,789,2,1,2,0,0.09,0,2,1,0.15,0,56.03,157,1,12,40
MIDYeremyCRY,£5.8m,17,1033,14,3,6,0,0.88,2,24,8,3.37,1,48.95,187,3,0,40
MIDAdliBOU,£5.4m,14,562,9,5,6,4,1.52,2,10,1,0.4,2,36.8,141,3,0,40
MIDHinshelwoodBHA,£5.2m,14,928,19,9,15,4,2.63,1,8,1,1.2,1,51,144,1,2,40
DEFRobinsonFUL,£4.9m,12,810,4,1,2,1,1.02,1,12,1,1.06,0,47.28,164,4,6,40
DEFWan-BissakaWHU,£4.1m,14,1135,0,0,0,0,0,0,14,1,0.7,2,37.36,127,0,12,40
MIDLukićFUL,£4.9m,16,1029,9,3,7,2,1.28,1,16,2,0.87,2,42.12,182,4,2,40
FWDWoltemadeNEW,£6.7m,17,916,9,3,9,2,1.48,2,8,2,0.78,1,39.97,131,3,0,39
MIDØdegaardARS,£7.8m,13,663,7,4,2,0,0.3,0,20,5,2.27,5,38.03,161,2,2,39
MIDIwobiFUL,£6.1m,15,1196,17,7,7,1,0.96,1,16,1,2.17,1,48.02,214,3,0,39
FWDNmechaLEE,£5.0m,16,632,18,9,18,7,4.4,3,4,2,1.12,1,48.5,132,4,0,39
DEFKonsaAVL,£4.4m,16,1440,3,1,3,0,0.32,0,1,1,0.27,0,42.35,215,1,2,39
MIDYarmoliukBRE,£5.0m,18,1362,5,2,1,0,0.28,0,6,0,0.55,0,51.39,188,0,6,38
MIDSoučekWHU,£5.7m,17,1131,8,4,6,3,1.57,1,6,0,0.29,0,49.46,169,0,2,38
MIDHudson-OdoiNFO,£5.7m,15,805,10,3,5,1,0.66,1,15,1,0.92,2,36.7,131,3,0,38
MIDRayanBOU,£5.4m,8,584,11,3,3,1,0.81,2,9,2,1.2,2,25.53,137,1,0,38
MIDBergeFUL,£4.9m,17,1414,8,2,4,2,1.01,0,6,0,0.67,0,54.85,210,0,4,38
MIDOnanaAVL,£4.8m,13,928,9,5,6,2,0.82,1,4,0,0.32,0,42.77,184,3,8,38
MIDGanaEVE,£5.4m,13,1023,14,5,5,0,1.2,1,8,1,1.09,1,48.19,198,1,8,38
DEFBallardSUN,£4.6m,16,1038,9,3,9,5,0.71,0,3,2,0.26,0,55.58,110,3,12,38
DEFSmithBOU,£4.4m,15,689,0,0,0,0,0,0,5,1,0.22,2,46.67,109,4,0,37
MIDJohnsonCRY,£6.5m,19,900,10,2,7,1,0.82,1,8,0,0.61,1,42.9,123,2,0,37
DEFRodonLEE,£3.9m,17,1425,5,3,5,0,0.33,0,4,0,0.27,0,51.87,108,0,12,37
MIDBarkleyAVL,£4.8m,10,441,8,5,6,2,0.98,2,5,1,0.32,2,28,137,5,2,37
DEFDe CuyperBHA,£4.3m,16,596,6,3,4,2,1.42,2,12,4,1.19,1,61.94,127,4,0,37
MIDTielemansAVL,£5.9m,13,932,11,2,3,1,0.52,0,17,4,1.77,2,44.32,217,1,4,36
FWDMatetaCRY,£7.6m,15,1045,23,12,19,11,4.15,2,5,1,0.71,0,50.97,131,0,0,36
FWDIsidorSUN,£5.0m,16,589,16,5,16,5,2.89,3,0,0,0.24,1,36.55,120,1,0,36
DEFGustoCHE,£4.8m,18,1118,3,2,2,1,0.34,0,12,3,1.97,1,63.55,187,1,0,36
DEFAït-NouriMCI,£5.7m,10,589,9,2,3,0,0.49,0,8,1,1.45,1,41.21,145,6,2,36
MIDMountMUN,£5.9m,12,620,10,3,4,2,0.95,2,5,0,0.86,0,36.02,114,1,4,36
DEFGvardiolMCI,£5.8m,8,663,8,3,8,1,1.01,0,2,1,0.21,2,37.89,134,4,6,36
MIDKamadaCRY,£5.0m,14,1014,7,1,4,0,0.64,0,9,2,1.09,1,43.95,188,0,6,36
MIDJ.RamseyNEW,£5.3m,15,831,11,3,8,1,0.86,1,15,1,0.75,2,38.86,179,1,2,36
MIDJ.MurphyNEW,£5.9m,17,828,18,5,8,1,0.99,1,6,1,0.6,0,45.12,121,1,0,36
MIDGroßBHA,£5.6m,9,807,9,4,3,1,0.65,0,24,2,1.81,3,34.86,193,4,2,35
DEFAjerBRE,£4.4m,13,1019,5,2,4,1,0.44,0,2,0,0.2,0,41.31,97,0,10,35
FWDAwoniyiNFO,£5.2m,9,234,8,6,8,5,2.37,4,2,1,0.37,2,23.21,148,4,0,35
MIDHutchinsonNFO,£5.4m,16,856,13,6,11,2,0.95,0,10,5,1.73,3,42.15,125,0,0,35
GKDúbravkaBUR,£4.0m,18,1620,0,0,0,0,0,0,0,0,0.03,0,42.42,151,1,0,35
MIDXaviTOT,£6.3m,14,808,17,3,10,1,1.29,0,14,2,1.53,2,43.13,139,0,4,35
MIDMitomaBHA,£6.1m,12,800,13,7,11,5,1.91,3,13,3,1.53,0,39.38,140,2,0,35
MIDRodrigoMCI,£6.3m,11,876,10,1,4,0,0.64,0,15,2,1.86,1,43.87,195,1,12,35
MIDSmith RoweFUL,£5.6m,18,952,16,3,12,2,1.88,1,10,0,0.51,0,49.24,165,1,0,35
MIDSadikiSUN,£4.9m,16,1361,9,3,5,0,0.56,0,7,0,0.44,1,41.06,181,0,2,34
MIDTonaliNEW,£5.3m,17,1261,15,1,0,0,0.3,0,15,2,1.38,0,49.42,214,0,2,34
DEFDalotMUN,£4.5m,16,1208,11,3,6,1,0.52,0,14,2,0.87,1,50.26,140,1,2,34
MIDP.M.SarrTOT,£4.5m,12,582,7,3,6,1,1.11,2,3,2,0.29,1,35.08,147,0,2,34
MIDCullenBUR,£4.9m,9,788,7,5,1,1,0.64,1,9,1,0.79,0,34.49,165,5,8,34
MIDGrealishEVE,£6.3m,9,654,15,3,11,3,1.27,1,9,2,1.25,2,32.94,145,5,0,34
DEFEstèveBUR,£3.8m,17,1504,5,1,4,0,0.29,0,3,0,0.17,0,45.79,70,0,18,33
FWDStrand LarsenCRY,£5.8m,18,1096,20,7,18,4,2.09,1,7,1,0.6,1,40.84,99,0,0,33
DEFAinaNFO,£4.7m,9,779,5,1,1,0,0.15,0,3,0,0.15,2,25.66,117,2,0,33
FWDFosterBUR,£4.9m,13,730,11,4,8,3,2.1,2,6,1,0.31,1,32.83,113,3,0,33
MIDMcNeilEVE,£5.5m,11,617,15,3,7,1,0.88,0,7,1,1.2,3,33.79,114,1,2,33
FWDToluWOL,£5.1m,16,636,23,6,20,7,3.08,2,8,0,0.31,1,40.27,100,2,0,33
DEFKhusanovMCI,£5.4m,11,827,5,0,2,0,0.54,0,3,0,0.34,0,40.01,147,2,6,33
DEFBogleLEE,£4.4m,17,1314,8,1,6,2,1.05,0,9,4,1.84,3,54.44,99,1,0,33
MIDIroegbunamEVE,£4.8m,16,706,5,0,2,0,0.2,0,3,1,0.55,0,38.26,100,0,8,32
MIDC.JonesLIV,£5.4m,17,1038,14,3,11,3,1.71,0,11,2,1.35,0,55.66,203,2,4,32
DEFLivramentoNEW,£4.9m,7,630,1,0,1,0,0.09,0,4,0,0.4,0,27.4,127,3,0,32
MIDLermaCRY,£4.9m,16,760,5,4,3,1,0.61,0,5,1,0.53,1,42.97,136,2,6,32
DEFKrejčíWOL,£4.5m,16,1335,14,7,13,2,0.75,1,6,1,0.6,1,48.97,116,1,2,32
FWDManéWOL,£4.2m,14,859,24,9,7,1,1.21,1,16,3,1.84,1,40.16,136,3,0,32
MIDMartinelliARS,£6.8m,16,674,17,8,15,6,2.61,0,6,2,0.76,3,47.26,112,2,0,31
GKJosé SáWOL,£4.2m,10,900,0,0,0,0,0,0,1,0,0.05,0,29.58,144,6,0,31
MIDMainooMUN,£4.7m,14,791,6,1,2,0,0.26,0,6,0,0.3,1,34.75,140,0,4,31
GKAreolaWHU,£4.2m,10,900,0,0,0,0,0,0,1,0,0.02,1,29.7,137,2,0,31
MIDDiarraSUN,£5.3m,11,715,13,6,10,2,2.21,1,3,1,0.33,3,33.47,118,0,0,31
MIDMerinoARS,£5.3m,12,467,9,4,8,4,1.71,2,3,2,0.67,1,35.38,96,2,0,31
DEFMoratoNFO,£4.3m,12,751,2,1,2,2,0.92,1,0,0,0.05,0,38.74,90,1,8,31
GKDarlowLEE,£4.0m,11,990,0,0,0,0,0,0,0,0,0.03,0,34.55,149,0,0,30
MIDDominguezNFO,£5.0m,14,621,12,4,6,1,1.03,1,5,0,0.33,0,37.22,134,3,2,30
DEFMazraouiMUN,£4.9m,11,586,2,0,0,0,0.07,0,6,0,0.16,0,36.94,130,3,2,30
MIDBrooksBOU,£5.0m,15,490,23,12,19,7,3.22,1,16,6,1.9,1,48.89,146,4,0,30
MIDMcGinnAVL,£5.3m,16,1120,15,5,7,2,1.47,0,20,2,1.88,1,47.45,163,0,0,30
MIDEdwardsBUR,£4.7m,11,457,7,2,5,0,0.4,1,5,2,0.82,2,27.07,101,2,0,29
DEFGeertruidaSUN,£4.5m,15,930,5,1,1,1,0.76,0,3,0,0.38,0,45.32,106,0,4,29
MIDTanakaLEE,£4.8m,14,709,4,1,2,1,0.85,0,9,1,1.06,0,42.97,133,1,4,29
MIDHannibalBUR,£4.7m,13,573,11,4,4,0,0.56,1,3,1,0.44,2,26.63,117,2,2,29
DEFFofanaCHE,£4.4m,13,868,3,0,3,0,0.3,0,1,0,0.06,1,43.16,121,1,4,29
FWDTatyWHU,£5.5m,9,676,29,12,25,5,2.92,3,6,0,0.44,0,32.59,116,1,0,28
DEFA.JimenezBOU,£4.5m,14,1073,5,2,4,0,0.25,0,6,1,0.5,2,25.98,124,0,2,28
DEFFrimpongLIV,£5.7m,10,424,3,1,3,0,0.16,0,2,0,0.23,3,35.76,78,1,0,28
MIDGrayTOT,£4.8m,11,582,4,3,4,1,0.63,1,3,1,0.18,1,25.79,94,3,0,28
MIDHendersonBRE,£5.0m,16,926,1,0,0,0,0.01,0,5,2,0.93,0,37.17,139,0,4,28
MIDTchaounaBUR,£4.8m,16,592,8,5,6,0,0.61,1,4,0,0.34,1,32.77,102,0,0,27
MIDBergvallTOT,£5.2m,11,513,5,2,3,1,0.46,1,2,0,0.19,1,25.87,76,0,2,27
MIDSangaréNFO,£4.9m,13,889,6,2,2,0,0.34,0,2,0,0.21,0,33.74,125,0,4,27
DEFMosqueraWOL,£4.3m,14,1144,14,2,13,3,1.54,0,6,1,0.36,0,49.85,82,0,16,27
DEFH.BuenoWOL,£4.3m,18,1319,8,4,5,0,0.4,0,18,3,1.76,1,54.28,106,0,4,26
MIDEstêvãoCHE,£6.4m,9,294,10,3,8,3,1.07,1,3,2,0.69,3,23.48,71,2,0,26
DEFMingsAVL,£4.3m,9,661,5,0,5,1,0.84,0,3,0,0.11,0,36.48,92,1,8,26
DEFTodiboWHU,£4.3m,10,826,2,0,2,1,0.24,0,2,0,0.22,1,27.77,81,1,10,26
DEFYoroMUN,£4.1m,16,826,5,2,5,2,1.08,0,1,0,0.28,1,55.71,85,1,0,26
DEFCastagneFUL,£4.3m,16,839,8,4,8,1,0.78,0,8,0,0.41,1,55.43,113,1,2,26
DEFDe LigtMUN,£4.9m,7,630,4,1,4,1,0.74,1,0,0,0.03,0,22.38,73,3,8,25
DEFHartmanBUR,£4.0m,10,861,5,2,1,0,0.16,0,13,5,1.43,4,24.37,77,0,2,25
DEFVeltmanBHA,£4.3m,11,499,2,1,2,1,0.79,1,1,0,0.11,0,39.58,80,1,4,25
MIDN.GonzalezMCI,£5.9m,12,698,6,0,1,0,0.21,0,4,0,0.36,0,32.14,147,0,4,25
MIDElangaNEW,£6.5m,16,619,4,2,3,1,0.65,0,6,1,0.6,1,36.88,96,0,0,25
MIDKingFUL,£4.4m,16,652,10,5,8,1,1.14,0,7,0,0.33,1,37.86,109,0,0,25
MIDNdoyeNFO,£5.5m,11,618,4,0,3,1,0.5,0,10,2,0.95,1,31.99,93,2,2,25
MIDChukwuezeFUL,£5.3m,12,530,9,0,4,0,0.5,0,12,1,1.87,3,31.85,94,0,0,25
DEFBradleyLIV,£4.9m,10,580,2,0,1,0,0.06,0,3,3,0.78,2,33.56,89,2,2,25
MIDChristieBOU,£4.9m,13,530,7,1,2,1,0.82,1,4,1,0.35,1,29.11,107,0,2,24
DEFGudmundssonLEE,£3.8m,16,1275,4,0,3,0,0.08,0,10,3,1.79,0,45.12,108,2,2,24
MIDHughesCRY,£4.7m,14,715,9,0,6,1,0.61,0,5,0,0.8,1,33.61,100,0,0,24
DEFMaatsenAVL,£4.2m,16,674,11,4,7,1,0.78,0,10,3,1.01,0,60.99,113,1,2,24
MIDJoelintonNEW,£5.9m,12,758,14,5,10,0,0.9,1,7,1,0.68,0,33.14,126,2,0,24
MIDAndrey SantosCHE,£4.4m,14,738,5,0,4,2,1.25,0,4,1,0.33,0,40.28,133,0,4,24
MIDGuessandCRY,£6.2m,10,468,4,3,4,3,0.9,0,3,2,0.28,3,25.58,66,0,0,24
MIDBobbFUL,£5.1m,12,610,6,1,6,1,0.54,0,11,0,1.07,1,31.28,104,0,0,23
FWDIsakLIV,£10.3m,6,314,10,4,9,5,1.57,2,1,1,0.04,1,18.9,83,2,0,23
DEFHeavenMUN,£3.7m,8,410,2,0,2,1,0.3,0,0,0,0.04,0,38.72,84,3,6,23
MIDGeorginioBHA,£5.6m,15,733,13,4,10,2,1.38,1,13,4,1.53,2,40.81,88,0,0,23
MIDOdobertTOT,£5.3m,11,493,11,5,5,1,0.7,0,8,0,0.68,1,30.19,96,3,0,23
FWDKolo MuaniTOT,£6.9m,14,742,5,1,3,1,0.36,0,10,1,0.91,1,28.1,85,0,0,23
DEFHenryBRE,£4.3m,12,715,3,0,0,0,0.06,0,4,1,0.31,1,31.95,60,0,0,23
FWDOsulaNEW,£5.5m,12,449,10,4,8,4,1.9,1,3,0,0.1,0,28.43,70,2,0,23
DEFSchärNEW,£5.2m,7,454,10,1,3,0,0.45,0,2,0,0.36,0,31.12,91,0,4,23
DEFTrippierNEW,£4.9m,9,685,1,0,0,0,0.05,0,9,0,0.8,0,30.38,99,0,0,23
MIDRiggSUN,£4.7m,10,362,8,2,6,0,0.53,1,4,1,0.71,1,25.49,83,1,0,23
DEFWalker-PetersWHU,£4.2m,10,582,0,0,0,0,0,0,3,0,0.1,0,30.45,83,0,4,23
MIDBruun LarsenBUR,£5.2m,15,538,7,1,2,0,0.41,0,5,1,0.68,1,31.49,66,0,0,23
MIDS.MagassaWHU,£5.0m,11,476,3,1,2,1,0.3,1,0,0,0.04,0,24.37,88,2,2,22
FWDArmstrongWOL,£5.1m,7,561,10,3,8,2,1.7,2,3,0,0.32,0,23.25,69,1,0,22
MIDKamaraAVL,£4.9m,9,688,2,1,2,1,0.24,0,9,0,0.31,1,25.03,131,1,2,22
MIDGallagherTOT,£5.0m,7,574,4,4,3,3,0.59,1,6,0,0.33,0,23.05,103,3,2,22
DEFSavonaNFO,£4.5m,8,559,1,1,1,1,0.44,1,2,0,0.12,0,23.26,68,0,0,22
DEFKilmanWHU,£4.0m,12,838,1,0,0,0,0.02,0,2,0,0.26,0,33.74,58,0,6,22
DEFDisasiWHU,£4.5m,7,630,3,2,2,0,0.35,0,0,0,0.03,0,21.31,88,1,2,22
GKPerriLEE,£4.4m,8,720,0,0,0,0,0,0,0,0,0.01,0,19.26,69,3,0,22
MIDMarmoushMCI,£8.3m,11,309,13,1,9,0,0.82,0,6,2,0.53,2,26.37,65,2,0,22
FWDZirkzeeMUN,£5.8m,12,275,7,2,6,1,0.43,1,5,1,0.22,1,16.77,80,3,0,22
MIDGruevLEE,£4.7m,10,667,4,0,1,0,0.15,0,5,0,0.34,1,25.13,107,0,2,22
DEFTosinCHE,£4.0m,11,567,2,0,2,0,0.11,0,1,1,0.39,0,42.47,88,2,4,21
FWDDelapCHE,£6.2m,13,454,13,6,12,2,1.79,1,2,0,0.14,0,28.17,72,1,0,21
DEFReinildoSUN,£3.8m,11,809,0,0,0,0,0,0,2,0,0.08,0,28.34,71,0,4,21
DEFMartinezMUN,£4.8m,9,614,4,0,0,0,0.07,0,2,0,0.18,0,35.87,107,0,2,21
DEFBogardeAVL,£4.0m,14,486,0,0,0,0,0,0,0,0,0.12,0,48.26,56,3,0,21
MIDWillockNEW,£5.0m,12,607,10,5,6,0,0.4,0,7,3,0.66,1,28.5,95,0,0,21
DEFBoscagliBHA,£4.2m,5,386,0,0,0,0,0,0,3,0,0.15,1,16.66,82,2,2,21
MIDBellegardeWOL,£5.1m,12,615,12,4,4,0,0.55,0,4,1,0.64,1,30.04,112,0,0,21
MIDKevinFUL,£5.7m,12,504,10,5,3,0,0.41,1,6,0,0.62,0,26.77,72,0,0,21
MIDLongstaffLEE,£4.8m,12,450,8,3,5,2,0.83,1,6,1,0.53,0,29.54,103,1,0,20
DEFAcheampongCHE,£3.7m,6,176,3,2,2,1,0.53,1,1,0,0.05,0,24.89,61,2,0,20
FWDMayendaSUN,£5.1m,9,434,5,3,4,2,1.43,1,2,1,0.12,0,21.68,55,3,0,20
MIDDevennyCRY,£4.3m,11,325,6,2,5,3,1.54,1,0,0,0.1,0,30.13,53,0,2,20
DEFWalkerBUR,£4.4m,19,1647,4,0,1,0,0.16,0,4,1,0.61,0,35.42,43,0,6,20
MIDLaurentBUR,£4.8m,18,891,9,3,4,1,0.55,0,4,0,0.29,0,37.62,92,0,2,20
MIDGarnachoCHE,£6.4m,11,529,13,3,11,1,1.1,0,15,4,1.98,1,32.23,98,1,0,20
DEFPauAVL,£4.3m,10,794,5,0,5,1,0.48,0,0,0,0.19,0,32.05,84,0,2,19
FWDMunizFUL,£5.3m,10,409,9,2,9,2,0.76,1,4,0,0.1,0,17.41,59,3,0,19
FWDBrojaBUR,£5.2m,11,362,3,2,2,2,0.7,1,2,0,0.12,0,19.01,54,2,0,19
MIDBalebaBHA,£4.5m,14,658,9,1,1,0,0.3,0,3,0,0.13,0,30.17,84,0,2,19
MIDKluivertBOU,£6.9m,10,494,7,2,5,2,1.81,1,10,2,0.7,0,29.43,65,2,0,19
MIDAlcarazEVE,£5.2m,13,412,13,3,8,0,0.77,0,8,2,0.46,1,29.71,91,0,0,19
DEFLindelöfAVL,£4.5m,9,603,3,0,3,1,0.28,0,2,1,0.07,1,24.59,77,0,0,19
DEFMosqueraARS,£5.3m,10,616,1,0,1,0,0.1,0,2,0,0.11,0,33.99,94,0,2,19
DEFJ.CuencaFUL,£4.3m,6,440,0,0,0,0,0,0,2,1,0.49,0,21.22,74,1,6,19
MIDWard-ProwseBUR,£5.6m,9,460,2,2,0,0,0.07,0,7,1,0.35,1,20.96,98,0,0,18
MIDHee ChanWOL,£5.6m,13,801,12,2,7,1,0.72,0,4,1,0.53,0,30.32,42,0,0,18
DEFCanvotCRY,£4.5m,10,614,1,0,1,0,0.18,0,1,0,0.07,0,33.44,48,0,10,18
MIDUgarteMUN,£4.7m,10,497,9,0,4,1,0.44,0,1,0,0.09,0,26.77,97,0,4,18
