Player,Price,Apps,Mins,S,OT,IN,BC,XG,G,KP,BCC,XA,A,XPTS,BPS,B,DC,PTS
GKM.BizotAVL,£4.2m,5,405,0,0,0,0,0,0,0,0,0,0,13.33,53,0,0,9
DEFTuanzebeBUR,£3.9m,7,585,0,0,0,0,0,0,0,0,0.03,0,13.61,18,0,4,9
GKTraffordMCI,£4.5m,2,180,0,0,0,0,0,0,0,0,0,0,7.67,49,0,0,9
GKJörgensenCHE,£4.3m,4,354,0,0,0,0,0,0,0,0,0,0,13.49,46,0,0,8
DEFNetzNFO,£4.5m,5,244,0,0,0,0,0,0,0,0,0.39,0,17.33,19,0,2,8
FWDMarc GuiuCHE,£4.0m,6,158,8,1,6,1,0.72,0,3,1,0.3,1,9.81,16,0,0,8
DEFJair CunhaNFO,£4.2m,6,314,2,0,2,0,0.16,0,1,0,0.05,0,16.96,33,0,2,8
MIDLaviaCHE,£4.9m,6,218,2,0,1,0,0.19,0,0,0,0.07,0,12.77,42,0,0,8
DEFColwillCHE,£4.7m,2,180,0,0,0,0,0,0,0,0,0.1,0,9.22,26,0,4,7
MIDMcAteeNFO,£5.0m,7,170,2,0,2,0,0.11,0,4,0,0.21,0,13.97,21,0,0,7
MIDEndoLIV,£4.9m,5,136,1,0,0,0,0.04,0,0,0,0.05,0,10.63,33,0,0,7
DEFDiopFUL,£4.3m,5,269,0,0,0,0,0,0,0,0,0.02,0,17.01,21,0,2,7
MIDAnguloSUN,£5.0m,4,182,0,0,0,0,0,0,1,0,0.05,0,9.39,26,0,0,7
DEFChadi RiadCRY,£4.0m,5,330,1,0,1,0,0.04,0,0,0,0.09,0,16.73,31,0,0,7
DEFClyneCRY,£3.8m,6,279,1,0,1,0,0.2,0,1,0,0.07,0,20.59,15,0,0,7
DEFB.BadiashileCHE,£4.4m,4,270,0,0,0,0,0,0,0,0,0.02,0,13.38,34,0,2,6
MIDKovačićMCI,£5.8m,3,79,1,0,0,0,0.09,0,3,1,0.37,1,6.63,28,0,0,6
GKBayindirMUN,£4.7m,3,270,0,0,0,0,0,0,1,1,0.03,0,6.58,29,0,0,6
MIDGeorgeEVE,£4.8m,8,172,7,3,5,0,0.3,0,2,2,0.69,0,14.82,24,0,0,6
MIDMundleSUN,£4.9m,6,184,5,2,3,0,0.44,0,1,0,0.03,0,11.31,23,0,0,6
MIDNelsonBRE,£4.8m,3,33,1,1,0,0,0.06,0,1,0,0.05,1,5.86,23,0,0,6
MIDTóth.ABOU,£4.9m,6,124,2,0,2,0,0.11,0,4,0,0.16,0,10.6,26,0,0,6
MIDCarvalhoBRE,£4.6m,4,98,1,0,0,0,0.03,0,0,0,0.03,0,8.43,16,0,0,5
FWDAbrahamAVL,£5.7m,5,67,2,0,2,1,0.38,0,3,1,0.28,0,8.43,16,0,0,5
DEFScarlesWHU,£4.3m,7,289,0,0,0,0,0,0,2,0,0.16,0,20.09,24,0,0,5
MIDGannon-DoakBOU,£4.8m,5,86,3,1,2,1,0.26,0,0,0,0.05,0,9.29,15,0,0,5
MIDO'RileyBHA,£5.5m,3,106,3,1,2,1,0.42,0,1,0,0.03,0,8.55,20,0,0,5
FWDLuccaNFO,£5.3m,1,36,1,1,1,1,0.16,1,0,0,0,0,1.88,27,0,0,5
FWDPiroeLEE,£4.9m,5,103,4,1,4,0,0.23,0,0,0,0.01,0,6.67,13,0,0,5
MIDDowmanARS,£4.2m,2,62,1,0,1,0,0.06,0,1,1,0.17,0,5.49,4,0,0,4
MIDReedFUL,£4.3m,3,77,0,0,0,0,0,0,2,0,0.34,0,7.23,15,0,0,4
GKBentleyWOL,£3.9m,2,180,0,0,0,0,0,0,0,0,0,0,4.89,14,0,0,4
DEFPedro LimaWOL,£4.0m,4,120,2,1,2,1,0.18,0,0,0,0,0,14.57,3,0,0,4
DEFIgorBHA,£4.5m,2,91,0,0,0,0,0,0,0,0,0,0,6.53,8,0,2,4
MIDNørgaardARS,£5.1m,4,69,2,1,0,0,0.08,0,0,0,0.04,0,8.53,19,0,0,4
MIDMohamadou KantéWHU,£4.5m,6,49,2,0,2,0,0.09,0,0,0,0.02,0,9.09,8,0,0,4
DEFMayersWHU,£4.0m,4,79,0,0,0,0,0,0,1,0,0.48,0,13.71,15,0,0,4
MIDDonovanBRE,£4.4m,3,29,3,1,0,0,0.1,0,1,0,0.02,0,6.31,16,0,0,3
DEFMilosavljevićBOU,£4.4m,2,91,0,0,0,0,0,0,0,0,0,0,8.48,9,0,2,3
GKWoodmanLIV,£3.9m,2,122,0,0,0,0,0,0,0,0,0,0,6.62,14,0,0,3
MIDLaceyMUN,£4.5m,3,40,4,1,0,0,0.1,0,0,0,0.01,0,6.1,9,0,0,3
DEFA.GarcíaAVL,£3.9m,4,79,0,0,0,0,0,0,0,0,0.01,0,13.25,6,0,0,3
DEFColemanEVE,£4.2m,3,16,0,0,0,0,0,0,1,0,0.16,0,15.29,12,0,0,3
DEFAbbottNFO,£3.8m,3,165,0,0,0,0,0,0,0,0,0.01,0,7.7,3,0,0,3
DEFSouzaTOT,£4.0m,3,100,1,1,0,0,0.02,0,2,0,0.04,0,9.44,6,0,0,3
MIDElliottAVL,£5.1m,3,52,2,0,2,0,0.17,0,0,0,0.06,0,6.19,9,0,0,3
DEFMalaciaMUN,£3.7m,2,13,0,0,0,0,0,0,0,0,0,0,8.69,3,0,0,2
MIDDrakes-ThomasCRY,£4.5m,2,7,0,0,0,0,0,0,0,0,0,0,3.46,6,0,0,2
FWDBarnesBUR,£4.2m,3,25,0,0,0,0,0,0,0,0,0,0,2.08,2,0,0,2
DEFA.MurphyNEW,£3.8m,2,7,0,0,0,0,0,0,0,0,0,0,7.85,3,0,0,2
GKWeissBUR,£4.2m,1,90,0,0,0,0,0,0,0,0,0,0,2.5,9,0,0,2
FWDKusi-AsareFUL,£4.5m,3,15,0,0,0,0,0,0,0,0,0,0,2.12,3,0,0,2
DEFSosaCRY,£4.8m,3,71,1,0,1,0,0.04,0,2,0,0.06,0,11.77,-3,0,0,2
GKJohnNFO,£4.0m,2,167,0,0,0,0,0,0,0,0,0,0,2.9,-3,0,0,2
MIDBuonanotteLEE,£4.6m,3,62,2,0,1,0,0.06,0,3,0,0.28,0,5.29,8,0,0,2
FWDAmdouniBUR,£4.8m,2,34,1,0,1,0,0.07,0,0,0,0.01,0,2.69,8,0,0,2
DEFCirkinSUN,£4.0m,4,132,0,0,0,0,0,0,0,0,0.01,0,10.54,5,0,0,2
GKArrizabalagaARS,£4.0m,1,90,0,0,0,0,0,0,0,0,0,0,3.06,11,0,0,2
MIDEdozieWOL,£4.3m,1,5,1,0,1,0,0.06,0,0,0,0,0,2.3,2,0,0,1
MIDOlusesiTOT,£4.3m,1,14,0,0,0,0,0,0,0,0,0.01,0,1.5,3,0,0,1
MIDMilamboBRE,£5.2m,1,45,0,0,0,0,0,0,0,0,0.01,0,1.33,5,0,0,1
MIDD.EssugoCHE,£4.3m,1,17,0,0,0,0,0,0,0,0,0.01,0,1.88,7,0,0,1
MIDMarchBHA,£5.8m,1,1,0,0,0,0,0,0,0,0,0,0,1.9,2,0,0,1
